Price for 2,Dining Rating,Dining Rating Count,Location,Cuisine
1000,4.3,697,Alwarpet,"Cafe,  Mexican,  Italian,  Continental,  Beverages"
1200,4.4,2492,Mylapore,"North Indian,  South Indian,  BBQ,  Desserts"
1300,4.1,2733,Adyar,"North Indian,  Chinese,  Continental,  Thai,  South Indian"
1500,4.7,2546,Nungambakkam,"North Indian,  Maharashtrian,  Modern Indian,  Beverages"
1200,4.2,1025,Nungambakkam,"North Indian,  Street Food"
300,4.2,585,Nungambakkam,"Bakery,  Desserts"
700,4.3,794,RA Puram,"Italian,  Fast Food,  Beverages"
1500,4.6,2102,T. Nagar,"Fast Food,  Italian,  Salad"
150,4.7,1304,Alwarpet,"Fast Food,  Desserts,  Beverages"
250,4.3,695,Purasavakkam,"Fast Food,  Street Food"
600,4.1,964,Nungambakkam,"Biryani,  Chinese,  Chettinad,  Beverages"
1500,4,1068,Adyar,North Indian
1600,4.4,2018,Mylapore,"American,  Mexican,  Steak,  Beverages,  Desserts"
1000,4.3,371,Egmore,"North Indian,  Chinese"
1500,4.9,996,Kanathur,"Italian,  Continental,  Burger,  Sandwich,  Wraps,  Kerala,  North Indian,  South Indian"
1650,4.6,1311,Neelangarai,"European,  Continental,  Italian,  North Indian"
700,4,1281,Anna Nagar East,"Fast Food,  Italian,  North Indian,  Continental,  Chinese"
2500,4.7,1138,Grand by GRT Hotels,"North Indian,  Mughlai,  South Indian"
500,4.3,1276,GST Road,"South Indian,  North Indian,  Arabian,  Chinese,  Beverages"
800,4.3,720,Alwarpet,"Korean,  Thai,  Japanese,  Beverages,  Italian,  Continental,  French"
1000,4.3,1100,RA Puram,"Cafe,  Italian,  Continental,  Salad,  Juices"
600,4.4,1881,Gopalapuram,"Cafe,  American"
450,4.9,1053,Egmore,"Kebab,  Rolls,  Mughlai"
800,4.3,788,Egmore,"Chinese,  Thai"
1000,4.4,1296,MRC Nagar,"Cafe,  Italian,  French,  European,  American"
1600,4.8,1082,Nungambakkam,"Seafood,  North Indian,  Chinese"
1000,4.1,1625,Adyar,"South Indian,  North Indian,  Asian,  Continental"
2500,4.2,1147,Guindy,"Irish,  Finger Food"
1500,4.1,332,"Paati Veedu, T.Nagar",South Indian
400,4.6,798,Kodambakkam,"Biryani,  North Indian,  Kebab"
800,4.2,689,Kilpauk,"Continental,  Italian,  Modern Indian,  North Indian"
800,4.3,1467,Egmore,"South Indian,  North Indian,  Chinese,  Continental"
1100,4.5,1055,RK Salai (Cathedral Road),"Cafe,  Continental,  Italian,  Sandwich,  Salad,  Desserts"
850,4.3,1013,T. Nagar,"Cafe,  Italian,  Mexican,  North Indian"
1500,4.5,1055,Semmancheri,"Steak,  Pizza,  North Indian,  Juices"
2400,4.2,2164,East Coast Road (ECR),"Continental,  Thai,  Italian,  Bar Food"
2000,4.3,530,Somerset Greenways,"Continental,  Finger Food,  Fast Food"
1400,4.5,1040,Gopalapuram,"Asian,  Chinese,  Beverages"
800,4.3,1646,Mylapore,"Chinese,  North Indian,  South Indian"
350,4.5,1208,Alwarpet,"Desserts,  Ice Cream"
800,4.2,2591,Adyar,"Cafe,  Italian,  European"
800,4.2,1353,Vadapalani,"Andhra,  Chinese,  North Indian,  South Indian,  Biryani,  Desserts,  Beverages"
2700,4.4,1907,Velachery,"North Indian,  Mughlai"
1200,4.2,1322,Nungambakkam,"Italian,  Pizza"
1600,4.5,964,Gopalapuram,"Finger Food,  Seafood,  Italian,  Continental"
800,4,1437,Besant Nagar,"Continental,  Italian,  Fast Food,  Beverages"
700,4.3,784,Mylapore,"Cafe,  North Indian,  Chinese,  Italian"
1100,4.4,2261,Velachery,"Continental,  Italian,  Chinese,  Steak"
400,4,390,Velachery,"North Indian,  Street Food"
500,4.9,1511,Adyar,South Indian
1400,4,1179,Nungambakkam,"Continental,  Mediterranean,  American"
800,4.2,705,Alwarpet,"Cafe,  Italian,  Desserts,  Ice Cream"
1500,4.3,1247,Vadapalani,"BBQ,  Chinese,  North Indian"
800,4.4,1043,Alwarpet,"Continental,  Italian"
700,3.7,1368,Mahabalipuram,"Seafood,  North Indian,  Chinese,  Continental,  Italian"
1000,4.3,1104,GST Road,"North Indian,  Chinese,  Arabian,  Beverages"
1100,4.3,1475,Nungambakkam,"North Indian,  Chinese,  South Indian"
800,4.6,949,Nungambakkam,"Ice Cream,  Desserts,  Beverages"
500,4.2,563,Kilpauk,"North Indian,  Chinese"
3400,4.6,549,Guindy,"North Indian,  Continental,  Asian"
1350,4.2,909,T. Nagar,"Continental,  South Indian,  Italian,  North Indian,  Asian,  Kebab"
900,4.4,912,Foodies Kitchen,"Cafe,  Continental,  American,  Italian,  Bakery"
150,4.3,1335,T. Nagar,"South Indian,  Chinese"
350,4.1,381,Valasaravakkam,"North Indian,  Street Food,  Sandwich"
1800,4.6,825,Adyar,"North Indian,  Chettinad,  Mughlai,  Desserts,  Beverages"
1300,4.2,837,Velachery,"North Indian,  Chinese,  European"
400,3.9,413,Perungudi,"Biryani,  Mughlai,  Chinese"
1000,4.3,613,Nungambakkam,"Seafood,  Chinese,  Asian,  Thai,  Momos"
1200,4.3,838,T. Nagar,"North Indian,  Chinese,  Italian"
850,2.6,1197,Thuraipakkam,"North Indian,  Chinese,  Mughlai,  Seafood,  Desserts,  Beverages"
1500,4.3,867,Velachery,"BBQ,  Asian,  North Indian,  Desserts,  South Indian"
1200,4.3,847,Nungambakkam,"North Indian,  Kebab,  Biryani"
600,4.5,798,T. Nagar,North Indian
1800,4.5,872,Nungambakkam,"Momos,  Asian,  Chinese,  Sushi"
1500,4.2,763,Thuraipakkam,"North Indian,  Chinese,  Mughlai"
800,4.2,897,Adyar,"Cafe,  Desserts,  Beverages,  American"
2000,4.2,877,Vadapalani,"Chinese,  North Indian,  BBQ,  Kebab"
800,4.1,627,Neelangarai,"Continental,  Italian,  Healthy Food"
600,4.3,688,Besant Nagar,"Cafe,  Tea,  Italian,  Beverages,  Desserts"
500,4,999,Aminijikarai,"North Indian,  Chinese,  Biryani,  Chettinad,  Mughlai,  Beverages"
2000,4.7,848,Alwarpet,Thai
350,4.1,1078,T. Nagar,"South Indian,  Biryani"
750,4,419,Royapuram,"North Indian,  Chinese,  Biryani,  South Indian,  Seafood"
600,4.1,1191,Egatoor,"North Indian,  South Indian,  Chinese,  Chettinad,  Arabian,  Biryani,  Momos"
600,4.1,450,Porur,"Chinese,  North Indian,  Arabian"
400,4.6,711,Royapettah,"Desserts,  Beverages"
1000,4.3,851,Sholinganallur,North Indian
650,4.2,796,Kodambakkam,"South Indian,  Chettinad,  North Indian,  Chinese"
450,4.1,311,Ambattur,"South Indian,  Chettinad"
400,4,324,Porur,"South Indian,  North Indian"
600,4.3,840,Adyar,"Asian,  Continental,  Beverages,  Desserts"
500,4.3,837,Adyar,"Chinese,  Momos,  Asian"
300,3.9,997,Potheri,"Biryani,  South Indian,  Kebab,  North Indian,  Chinese,  Rolls"
2500,4.1,588,Nungambakkam,"Continental,  Seafood,  Finger Food"
650,,Does not offer Dining,Choolaimedu,"North Indian,  Chettinad,  Chinese"
2500,4.4,602,Teynampet,"North Indian,  Mughlai"
800,4.2,655,Kilpauk,"North Indian,  Chinese"
750,4.1,777,Navallur,"North Indian,  Chinese,  Seafood,  Beverages"
150,3.5,517,Pallavaram,"Fast Food,  Sandwich,  Beverages"
300,3.9,677,Potheri,"Biryani,  North Indian,  Chinese,  Beverages,  Rolls"
300,4.5,760,Royapettah,South Indian
350,4.2,590,Velachery,"Tibetan,  Chinese"
900,4.2,698,Thuraipakkam,"Seafood,  North Indian,  Chinese,  Chettinad"
300,4.3,438,Vadapalani,"Gujarati,  Street Food,  North Indian,  Mithai"
400,,Does not offer Dining,Shenoy Nagar,"Chinese,  South Indian"
1400,4.3,713,Vadapalani,"North Indian,  Mughlai,  South Indian"
600,4.1,351,Nungambakkam,Chinese
600,3.9,241,Selaiyur,"Biryani,  North Indian"
300,3.8,489,West Mambalam,Fast Food
700,4.4,715,Mylapore,"Cafe,  Desserts"
